id,fpkm_unstranded,fpkm_uq_unstranded
db70cd04-821e-43a7-bac1-815a30172be1,7.0471,6.7821
139b1f70-02f6-4f5e-84b3-81d3677b3f8c,10.29,9.1214
195d8bd4-352c-4407-9319-797d915c72b8,1.113,1.1307
1008e8d8-a93c-4779-80b6-1272322e7c52,1.5958,1.624
f988afae-48f8-4ecc-bb84-87924b454bf0,3.6083,3.3404
6e209f42-3c0f-4f05-83d7-c982448ccb87,5.1837,5.0401
e38d31b7-ad89-4fff-93d5-05f49998727b,2.2265,2.0789
ef2a6bd9-fe3b-4b67-942c-89f3a34813ad,4.1573,3.9632
a410ae33-9070-4d1d-886a-21f04666a6c7,1.9914,2.2033
3ccab1b1-39f2-4947-bbac-1c25750f0464,2.4625,2.6388
2c1b1cbb-6e9f-4416-8faa-abb31d6b4e0e,3.17,3.1139
fa94f266-1ed4-440a-8d10-3c72ce4100ba,0.9505,1.1192
83f93d3f-d038-4773-a671-0f218f53821c,3.7435,4.0121
cab9ff29-e575-45e2-a411-1bfdc2e2610c,1.6684,1.7208
0361ec21-e83f-40a9-b825-d92487b1239a,1.6976,1.6537
27c65ed6-9e9d-4a9d-9b6f-76d2a12f7699,3.1619,3.0925
57d2c12f-e3ae-457b-b92c-22002aecdba0,4.1662,4.3944
5a61d29b-5ae6-41b6-8842-865463f72990,1.9577,1.9393
4e01a01d-eded-4d02-b8aa-1920c6997726,3.2456,3.3007
0a133c47-fae8-4e3b-8f4d-cbf357f5e2fc,2.2331,2.3148
78142fe5-7a8a-49dd-87b5-6a1e6427893e,5.2175,4.5835
bc4ac436-ed5f-4774-867d-a6bdd7e14486,1.3111,1.2194
a852a227-c31f-410f-baee-81135917a7d2,3.2014,3.0956
56c85bd5-c353-457a-94a9-91a3cc0ac4e0,3.5996,3.4145
0d71189d-6801-4d6b-b306-22efcaa2564a,0.3138,0.2907
8c92ecf0-5d81-48c3-ad9f-9adf51860962,2.155,2.1472
951bac30-0a85-4dd8-8470-c1a3b84817f9,1.3016,1.2596
02bbe1b1-44ff-426b-a40e-47a01bc4cf7d,1.9975,1.928
d5a1a331-cd5b-448f-adf6-ea393565ef26,4.0949,4.1747
63eff205-4fd4-4148-a596-2f7c17da328f,1.8011,1.7731
3628bc49-6968-47a8-96e4-e47421a7152a,3.3856,3.3131
2f51534b-248b-4999-bc3f-e42a2e98332e,2.3867,2.4245
b6a8beee-f393-4d3b-943e-1c44fad65526,2.345,2.3978
7de22a44-8f58-4a73-90a3-a16d161160e8,1.2103,1.2285
f79d6a7e-eaaa-4382-a5ed-600cf8d45824,0.5414,0.6767
934807ee-e303-43b7-938a-1721c6c31584,2.6866,2.9132
9d2a209e-f610-4bde-8265-ef7e7e7ac0c4,1.1288,1.0646
b8542fa9-5521-48bc-ae1b-4e12a1744e0d,5.2709,5.2472
ecf14d2a-e353-4674-9b3f-f0d11bcc9900,1.0295,1.1319
b1e1ae0d-4558-4d30-9b20-79aa40fa5a2a,6.2809,5.5357
240a1e61-5188-4249-b6dd-d6e0d7935d8d,3.7009,3.8113
e590db5d-2577-43ec-9d39-45a257be5562,2.1614,2.1368
f8efdeb0-a8f8-4e2d-a52e-43d033e4ce6f,1.3885,1.3783
22aac1ce-7a45-481b-b3f6-6393deeadcd6,1.0459,1.0914
3621ce2e-a1eb-4a45-ac06-779a780b0b99,5.9076,5.6922
b73f749f-eafa-460d-b921-f12e7f8d6609,2.0997,2.9057
ce52c9b2-ab83-4efa-8abf-97475dcf892d,2.6576,2.5662
a2b566c2-bdbc-41c0-a9dc-8207582e1a51,3.7212,3.3517
8408e231-e0d2-4650-b269-9a7f7ff4a597,1.1243,1.1942
c5d4a1ed-8fd3-4435-96f5-ea5e56326f20,2.0163,1.9993
b1366128-6ab0-4205-ae2b-a854e8ad45bf,4.9041,4.355
6365a756-2e65-42cb-be4f-1f726915ca94,1.2692,1.1676
231b4ae3-8543-47f4-a9f6-0ac26210b26d,3.1726,3.1038
0e2d6467-d90b-40dc-813c-fa4f8a0f4d07,4.8875,4.9954
